"id","article_id","lieu_id"
"0b20ca3e-27a7-4daa-8591-a3e8a0478fb6","1679-08_051","18a1957e-effe-488d-bdba-1acfdc5516d2"
"0b3a19ab-19e7-4c37-99ea-1c8683075374","1682-10b_314","6b672737-c4ed-43f0-b847-354478ee09fe"
"0b50da00-02cc-4ac6-b2c5-008a4dc8295b","1699-04_058","7ef0b449-491c-40c6-b904-d673a59746a4"
"0b6392ca-779e-4e83-85f8-7eda19051407","1682-10a_059","fb4b473f-6d68-45d7-a41b-370c4db77f71"
"0b69f292-280b-4c49-bdc1-ef122f8eb601","1694-07_290","1b50793a-fd7a-46b7-94f5-fa58cca4fc22"
"0b754ac9-6fbd-4018-9d48-0e800cee807c","1682-06_305","937b4efe-394c-4716-a90e-d68020d36762"
"0b7683ed-b57b-485d-947f-b91105ab03db","1696-01_011","fbf6c4c1-9c25-4fad-ad60-73d57de0baa8"
"0b842e3c-f8a9-4ee8-8a85-8c9e8121cd5d","1696-11_273","b28acc7d-3ac5-42a6-b868-4c946e0ae01d"
"0b8a199b-df12-4025-a787-de8f47681f68","1696-10_320","b0d6e32d-9ac0-4079-bf3e-f5db95146240"
"0b8c105f-44a1-4057-a836-103f837b9e9d","1707-03_47","665ada52-2b0c-4c39-b7e1-e2be1256a5b3"
"0ba55a62-a8ce-4d2a-b093-c74f40962bf2","1691-06_159","112af976-6882-424e-967d-0c32740931b8"
"0ba5fa21-5f01-4e8a-b4db-f3fff0286ceb","1701-06_148","3987aeeb-2fc4-4bf0-b667-11578123f13f"
"0bcd4c11-de13-415d-894c-407e3f24f7c5","1696-04_332","b46edf15-5f5a-4cc1-a3d6-7c388a0eabda"
"0bd0f46c-be69-4f31-9347-bd0794c4caf7","1703-08_337","83765b50-a4af-466c-aaf1-e78fa4e7a135"
"0bdf03c9-5426-4a34-ba44-0dc50fbddcd6","1680-01a_152","32f62fba-694e-4b7f-8ef6-3cc52342b404"
"0be0a0eb-2e31-4e97-b6c3-231ed5395e5d","1707-10a_254","6653ea6b-23e3-4c29-8ccf-7ad1c7582e86"
"0be38a21-57d9-455e-b09d-1a8a00e75d79","1694-09_127","cc236301-694d-4967-965f-b092c618283d"
"0be79bfa-175c-43a3-8dcc-f5187bfc9260","1681-09_103","ca4aa91f-f46b-42e5-9c22-3fd98e8558d9"
"0bfc4e5f-05f4-4f36-8de4-d8098c79098c","1701-07_061","af86bb12-431d-4421-96d9-15a70610f9d6"
"0bffbae5-3ade-43df-9182-9caed5d4ec19","1710-03_167","686e55d2-4162-4810-93bf-f286105e112a"
"0c05a2d7-d963-411a-8b86-97ff6905ac78","1682-09b_064","943009ec-1c6b-4af7-a54e-91f6f63e0d4b"
"0c121ada-17c3-4a5b-a803-5c555fe40a98","1681-01_341","7e5b9c07-348a-43aa-a826-f7cce7df0771"
"0c1a362c-f750-4a06-9250-3228330531d0","1691-06_159","c7734a7a-fb46-472e-a93d-21e59f214aaa"
"0c270719-bcf1-44b3-8ab1-9573e4713f74","1708-09_131","7cb5b279-e8e2-4414-825a-38f4024ec91b"
"0c28e0ca-2e6b-48d4-9a15-a849e649553c","1704-07b_198b","dfb3b5ed-fd6f-42bb-964b-6160223a63da"
"0c2c26ab-80e5-46e8-b562-eb3e1cbdca0f","1681-11_17","2a82c00e-6e2f-4032-8a9e-37f5efa6fe04"
"0c3f0ebe-e10e-40f8-a7b6-87a9e257bf5b","1685-09_323","126f827f-f14f-4b00-92d0-7e9d7f5770f5"
"0c51d788-28bc-479b-9d0b-724f9423b43e","1696-02_276","b46edf15-5f5a-4cc1-a3d6-7c388a0eabda"
"0c5dc20a-a8f1-41c4-9f2e-da6481012a8e","1708-08_140","539d2a6a-043f-42be-87f8-ca0ddb5fb342"
"0c8f4687-435e-4d14-a651-4f52e000bd28","1706-02_265","437b32f3-cce4-44dd-8fef-2ae51f792dbe"
"0cc59f9d-671f-4dc0-aa10-62df0c5c1ec8","1702-09_191","31f17e2f-9523-449d-a59e-cbb4ddf57c2d"
"0cd1a591-fd1a-4ce8-bf8d-4b5415b5c94b","1680-05_081","8479b254-51ec-41eb-845f-c398799c9dca"
"0cd56362-9068-421a-a30c-0c4f55a33adc","1704-04_128","6f176767-dec0-4d02-942e-1ba234a7d86c"
"0cd618c6-f0c5-45f0-b8cb-60a3990c9386","1693-07_196","cfb30119-83c1-4b7c-95f3-49dbc797a817"
"0cd62061-5fe9-4f5d-af0a-608475df6862","1707-10a_251","930d19af-af14-473f-8841-42cb3694b84c"
