"id","status","sort","user_created","date_created","user_updated","date_updated","article_id","mot_clef_id"
"02cdbd23-490c-4d87-a039-a8d6f39550d2","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T11:02:47.385Z",,,"1707-03_72","630d6486-a99f-4e55-bcad-05c02d885556"
"02d5013f-4d1a-423d-8f44-34b9c79a81b9","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T11:03:23.288Z",,,"1708-08_293","70adb038-533a-4505-ae2b-e26b5dc50b5e"
"02db5d8e-9894-4db6-a823-720ace57c875","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T11:02:49.141Z",,,"1704-12_239","8c76f04f-2ec2-4998-b27d-1ecae7662d77"
"02f5ebf0-8832-44ee-9dd9-29ce15966a82","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T11:01:12.037Z",,,"1708-05_83","6100432a-933a-4031-80d8-a485eb2fe47c"
"03093b17-0aa2-4edd-9eed-c7ccee5aa487","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T11:01:55.429Z",,,"1701-07_061","513b1b8d-3be3-4973-bdc7-cc71e5f30bbe"
"030c2782-e45e-4590-a575-c0b7d18b4745","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T11:03:23.069Z",,,"1708-08_151","7c3a3e5a-7495-4bfc-bf1c-42f26345d381"
"031b5dff-b865-4a23-bb33-eabe15d8ea6d","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T13:43:29.137Z",,,"1705-08_79","e238f856-6931-413b-b32c-a582c3f0085b"
"03454384-9532-4b45-952a-75bc896ab144","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T11:02:58.306Z",,,"1707-02_98","6805a36a-81f4-44c9-8d42-a230ce54a7dc"
"035be587-4cbc-400b-a7be-a0580dc5d56b","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T11:04:07.250Z",,,"1707-09_196","b8fc948e-8200-4a5e-9cf0-ac974bc8256a"
"036652c7-7205-4c95-9dae-1f947c9fac12","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T13:43:35.842Z",,,"1706-10_138","d630a72a-8fa1-47a8-a3d0-91410de9e4f6"
"03696f1a-5cd1-4a9a-93df-c3d0f6ec0763","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T11:01:48.557Z",,,"1705-08_150","a8febca6-8f3f-4784-baa8-91b2c7da269e"
"037100f5-e642-407b-9e7b-9457bc9f2017","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T13:46:19.739Z",,,"1707-06_192","d630a72a-8fa1-47a8-a3d0-91410de9e4f6"
"037981cb-1653-472e-ad14-281f414379a6","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T13:44:45.664Z",,,"1707-02_126","2d573f6b-7b9c-4a50-98d3-c61cb983c756"
"037b1b73-a207-4384-a1a4-27d709a3ebfb","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T13:45:25.491Z",,,"1701-05b_087","64626bd8-9494-46c3-ab8a-1564ad6f56b0"
"0386a2cf-a153-4bc4-a6de-209fc8acfb5c","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T11:03:48.176Z",,,"1706-01_194","e79ee383-d016-412a-9e15-a11f33f26084"
"038712ca-0942-4987-a2a6-87819f3c8cca","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T13:46:22.488Z",,,"1707-01_175","1a6c4289-0bfb-4ab8-a64a-ce8ac0be00a8"
"03874b7f-af33-4d1c-893d-ef70058f9dc5","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T13:43:04.809Z",,,"1708-05_83","be4875dc-251f-4656-af58-e8053b771e75"
"0387db1a-dbae-45f4-8a77-e4fb437a0036","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T13:44:53.519Z",,,"1708-09_5","e238f856-6931-413b-b32c-a582c3f0085b"
"039ba166-4ddf-4aad-b7b7-fd8cfc90ecb5","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T11:03:10.225Z",,,"1707-10c_103b","5932ef1d-7644-489e-8d7a-1b1113410e75"
"039e50cb-22bd-41a8-bcec-7753c0ebae8e","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T11:00:57.320Z",,,"1704-09_183","d89df9be-ab4f-4338-9478-ee911b20b310"
"039ee764-47a5-4ff7-88f5-0d4263dbd3cd","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T11:04:09.458Z",,,"1707-09_5","fbf316a2-38eb-4f9f-8a56-77476b0ef438"
"03a19ade-5707-40cd-8188-e708fffae924","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T11:01:20.397Z",,,"1708-02_294","0b9a98d8-4d33-432c-ab5d-e2ba10a11678"
"03a21c91-c963-46a3-839d-e145cd9b621a","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T13:44:43.677Z",,,"1707-02_15","8810d58e-f070-4221-98a3-e352c9819469"
"03a27fd8-0f1c-43e3-a657-020ca30829ec","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T11:02:04.752Z",,,"1709-04_351","893e6fbc-82e1-47e2-8626-0fe58c14c516"
"03af9e21-6b1b-4508-a5ce-4214d3eec477","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T11:01:58.408Z",,,"1701-09_010","5d5c618e-fc95-4f1a-bee6-98102d1556f4"
"03b0c3ed-4eb7-4348-a2b4-7665455a2ba6","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T11:01:07.227Z",,,"1707-11-12_91","6307674c-4fac-4793-9592-bcc5b97b84db"
"03b45293-976e-4ab4-ac35-dd43f0bff768","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T11:02:33.706Z",,,"1706-04_483","755daf16-0cdc-4ab1-bdff-07945a4e3b37"
"03c139c3-66c1-4a9c-bbef-1ade4d6ce318","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T11:04:08.956Z",,,"1707-09_252","f8da9b4d-f630-41b1-82b2-60d472b8f4f4"
"03c4f360-6032-4b80-8e3c-e43e0e9c9e08","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T13:43:20.767Z",,,"1704-08_307","561b093b-20ed-42c7-bfe4-fca356c28e60"
"03e1efe6-3671-425b-87dc-417a70335a3e","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T11:03:54.849Z",,,"1702-06a_169","d89df9be-ab4f-4338-9478-ee911b20b310"
"03eff79c-dda3-401b-9c72-986c0dd65854","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T11:01:19.939Z",,,"1708-02_294","7cae50a5-59e7-40bb-9cd2-91ff632b79ba"
"03f59cfb-57d8-477b-a9cb-5e8fe794c4f2","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T13:46:11.122Z",,,"1707-09_409","b20d18fc-d2cb-4f3f-b658-d679c93c192f"
"03f804fe-30e1-4eca-84cc-d7630c15bcc9","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T13:45:33.833Z",,,"1706-06_192","561b093b-20ed-42c7-bfe4-fca356c28e60"
