"id","article_id","personne_id"
"fa7c3221-ed8a-4b02-83df-43b03b699222","1678-05_106","1480e2ab-f3d6-4915-a0c0-9a5b55fd56b6"
"8abd6d52-82cc-4946-8cd0-9b685b8bea70","1678-05_130","aafef09f-b210-494e-bb0b-d68dab36f15b"
"1589fb0c-eff0-4af2-aab1-a9aa8c214da3","1678-06_116","42d26da3-5611-496f-866d-1feedc431ddc"
"174cb9c3-474c-4efc-8d9c-1f38d0da6b0a","1678-06_116","78f3a000-8508-4635-824d-bceb032bc1d5"
"2a420082-59ea-40f8-82be-8576138e18f6","1678-06_116","3c796d06-37fe-4f00-8ffe-180f7ba11f18"
"52963d30-a656-4c40-96f7-1c12c281ebed","1678-06_116","52b250c4-58ca-4d93-9608-a837fc31fa7c"
"69b803f0-7a4d-4fb9-b707-a8e64f3ef751","1678-06_116","54687b0b-6e10-48d8-aeaa-9c9de308372b"
"af54341c-0936-456c-b9ef-f27233778c6c","1678-06_116","64fb4987-5d1f-4486-b7d3-4f381412c171"
"be2cd4c1-0dac-4434-b1e5-173b5ceaa34a","1678-06_116","9c3701f3-9264-4aab-9b3d-f5aab9679c5d"
"34c4895c-5eb8-44fd-8d1c-8c3facfe02ee","1678-06_122","1480e2ab-f3d6-4915-a0c0-9a5b55fd56b6"
"3b204bf0-8eb8-4546-8a34-6018ba08550c","1678-06_122","99f6fa8d-8ce6-48b3-8e8d-a7332fbe14ad"
"74daeb26-af6b-4169-8128-82d5f438fb25","1678-06_122","84f2b3f0-36bb-453a-aa0b-961875e36347"
"b6ff2953-136f-4f60-9689-38a9ca1d89f5","1678-06_122","5ddd2dca-d197-47ea-b706-a232b7a42446"
"079a1c72-3025-4551-b920-47517eebca6f","1678-06_222","48d7b522-1b80-430c-a1d1-f90a77cd9fd7"
"1364824b-71a1-4de4-b776-a5d7c548b18b","1678-06_222","9269ac35-ea74-4f1a-8cf5-f6e6efa1fba0"
"713a2af0-b07b-44ae-9d75-b11eb80e5321","1678-06_222","60fa0712-2429-492a-8016-dc98649c557d"
"7a16c223-f293-427e-861c-0305a01bf7c3","1678-06_222","2aaeff30-df44-4e46-aa2c-c0bfa8c3a475"
"d66f7f7a-4b59-4d49-9302-631c0717aa59","1678-06_222","0f68def4-e246-493b-ab00-ab0674594b7b"
